onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
0.011778	17.360786	trialstart	1	None	6	2	Reminder
17.370224	2.185346	ITI	1	None	6	2	Reminder
19.567129	16.897243	trialstart	2	None	11	2	Reminder
36.464361	3.133244	ITI	2	None	11	2	Reminder
39.601846	17.203494	trialstart	3	None	12	2	Reminder
56.805288	3.326918	ITI	3	None	12	2	Reminder
60.141475	14.759789	trialstart	1	None	12	1	Partial_Extinction
74.899535	4.778488	ITI	1	None	12	1	Partial_Extinction
79.681702	14.377365	trialstart	2	None	13	1	Partial_Extinction
94.059037	5.652920	ITI	2	None	13	1	Partial_Extinction
99.716275	14.301868	trialstart	3	None	12	1	Partial_Extinction
114.018098	6.228412	ITI	3	None	12	1	Partial_Extinction
120.257481	12.137387	trialstart	4	None	11	1	Partial_Extinction
132.394820	7.892958	ITI	4	None	11	1	Partial_Extinction
140.292503	12.511791	trialstart	5	None	14	1	Partial_Extinction
152.804241	8.018513	ITI	5	None	14	1	Partial_Extinction
160.827332	12.186352	trialstart	6	None	14	1	Partial_Extinction
173.013638	7.343920	ITI	6	None	14	1	Partial_Extinction
180.366407	9.597674	trialstart	1	CSplus	14	0	PIT
190.008001	9.902326	ITI	1	CSplus	14	0	PIT
199.910549	9.597530	trialstart	2	CSplus	14	0	PIT
209.550583	10.402470	ITI	2	CSplus	14	0	PIT
219.953128	9.597994	trialstart	3	CSplus	7	0	PIT
229.593488	10.902006	ITI	3	CSplus	7	0	PIT
240.499864	9.593777	trialstart	4	CSminus	12	0	PIT
250.136112	9.906223	ITI	4	CSminus	12	0	PIT
260.042409	9.593866	trialstart	5	CSminus	9	0	PIT
269.679125	10.406134	ITI	5	CSminus	9	0	PIT
280.085333	9.594150	trialstart	6	CSminus	2	0	PIT
289.721941	10.905850	ITI	6	CSminus	2	0	PIT
300.632156	9.590201	trialstart	7	Baseline	13	0	PIT
310.264609	9.909799	ITI	7	Baseline	13	0	PIT
320.174484	9.590456	trialstart	8	Baseline	5	0	PIT
329.807642	10.409544	ITI	8	Baseline	5	0	PIT
340.217264	9.590508	trialstart	9	Baseline	14	0	PIT
349.850491	10.909492	ITI	9	Baseline	14	0	PIT
360.769182	9.598407	trialstart	10	CSplus	11	0	PIT
370.409799	10.901593	ITI	10	CSplus	11	0	PIT
381.311467	9.597751	trialstart	11	CSplus	11	0	PIT
390.952467	10.402249	ITI	11	CSplus	11	0	PIT
401.354790	9.597899	trialstart	12	CSplus	0	0	PIT
410.995314	9.902101	ITI	12	CSplus	0	0	PIT
420.904079	9.592033	trialstart	13	Baseline	7	0	PIT
430.538350	10.907967	ITI	13	Baseline	7	0	PIT
441.446395	9.591928	trialstart	14	Baseline	2	0	PIT
451.080968	10.408072	ITI	14	Baseline	2	0	PIT
461.489117	9.592393	trialstart	15	Baseline	13	0	PIT
471.123780	9.907607	ITI	15	Baseline	13	0	PIT
481.038343	9.586215	trialstart	16	CSminus	14	0	PIT
490.666866	10.913785	ITI	16	CSminus	14	0	PIT
501.580732	9.585896	trialstart	17	CSminus	0	0	PIT
511.209471	10.414104	ITI	17	CSminus	0	0	PIT
521.623654	9.586131	trialstart	18	CSminus	11	0	PIT
531.252320	9.913869	ITI	18	CSminus	11	0	PIT
541.180025	9.589343	trialstart	19	CSplus	13	0	PIT
550.811983	9.910657	ITI	19	CSplus	13	0	PIT
560.722717	9.589262	trialstart	20	CSplus	8	0	PIT
570.355040	10.910738	ITI	20	CSplus	8	0	PIT
581.265857	9.587880	trialstart	21	CSplus	5	0	PIT
590.897695	10.412120	ITI	21	CSplus	5	0	PIT
601.316657	9.598369	trialstart	22	CSminus	10	0	PIT
610.957225	9.901631	ITI	22	CSminus	10	0	PIT
620.858934	9.598903	trialstart	23	CSminus	4	0	PIT
630.500201	10.901097	ITI	23	CSminus	4	0	PIT
641.401376	9.597932	trialstart	24	CSminus	8	0	PIT
651.042862	10.402068	ITI	24	CSminus	8	0	PIT
661.451879	9.590936	trialstart	25	Baseline	8	0	PIT
671.085732	9.909064	ITI	25	Baseline	8	0	PIT
680.994875	9.591668	trialstart	26	Baseline	11	0	PIT
690.628687	10.908332	ITI	26	Baseline	11	0	PIT
701.537096	9.591559	trialstart	27	Baseline	12	0	PIT
711.171389	10.408441	ITI	27	Baseline	12	0	PIT
721.594557	9.593782	trialstart	28	Baseline	17	0	PIT
731.230875	10.406218	ITI	28	Baseline	17	0	PIT
741.637169	9.594170	trialstart	29	Baseline	13	0	PIT
751.273688	10.905830	ITI	29	Baseline	13	0	PIT
762.179596	9.593641	trialstart	30	Baseline	16	0	PIT
771.816371	9.906359	ITI	30	Baseline	16	0	PIT
781.729537	9.587386	trialstart	31	CSplus	4	0	PIT
791.359386	10.412614	ITI	31	CSplus	4	0	PIT
801.772074	9.586033	trialstart	32	CSplus	17	0	PIT
811.402247	10.913967	ITI	32	CSplus	17	0	PIT
822.316293	9.585715	trialstart	33	CSplus	18	0	PIT
831.944867	9.914285	ITI	33	CSplus	18	0	PIT
841.865979	9.594649	trialstart	34	CSminus	8	0	PIT
851.504574	10.405351	ITI	34	CSminus	8	0	PIT
861.910006	9.593851	trialstart	35	CSminus	0	0	PIT
871.547442	10.906149	ITI	35	CSminus	0	0	PIT
882.453668	9.594145	trialstart	36	CSminus	1	0	PIT
892.090099	9.905855	ITI	36	CSminus	1	0	PIT
902.011508	9.596132	trialstart	37	Baseline	5	0	PIT
911.649779	10.903868	ITI	37	Baseline	5	0	PIT
922.553723	9.595284	trialstart	38	Baseline	13	0	PIT
932.192384	10.404716	ITI	38	Baseline	13	0	PIT
942.597177	9.595233	trialstart	39	Baseline	13	0	PIT
952.235230	9.904767	ITI	39	Baseline	13	0	PIT
962.147015	9.588895	trialstart	40	CSplus	12	0	PIT
971.778303	10.911105	ITI	40	CSplus	12	0	PIT
982.689483	9.588464	trialstart	41	CSplus	15	0	PIT
992.320947	10.411536	ITI	41	CSplus	15	0	PIT
1002.732557	9.588586	trialstart	42	CSplus	15	0	PIT
1012.363742	9.911414	ITI	42	CSplus	15	0	PIT
1022.282097	9.598206	trialstart	43	CSminus	12	0	PIT
1031.923474	10.901794	ITI	43	CSminus	12	0	PIT
1042.825345	9.598117	trialstart	44	CSminus	15	0	PIT
1052.466083	10.401883	ITI	44	CSminus	15	0	PIT
1062.868047	9.598489	trialstart	45	CSminus	14	0	PIT
1072.508979	9.901511	ITI	45	CSminus	14	0	PIT
